time,arc_ST_median,arc_ST_maximum,arc_ST_minimum
0.0,-0.8,-0.8,-0.8
0.0005,-0.7011019468307496,-0.640839684009552,-0.7977952241897583
0.02432007,0.05702887177467347,0.22132523059844972,-0.2842424392700195
0.05995154,0.36017025709152223,0.3714040040969849,0.2164860486984253
0.09449272,0.4800632119178772,0.5555561304092407,0.36628122329711915
0.1284152,0.577987802028656,0.8204336881637573,0.35001070499420167
0.1605454,0.589878511428833,1.0126263618469238,0.2745646953582764
0.1811718,0.5852980732917785,1.1292176961898803,0.21300978660583497
0.1993194,0.5843733668327331,1.2170180797576904,0.1803621768951416
0.2180623,0.6208956956863403,1.3729872226715087,0.1425063729286194
0.237261,0.6051121473312377,1.4475690841674804,0.09791756868362428
0.2575807,0.6379738569259643,1.520934772491455,0.07032884359359742
0.278816,0.6340317845344543,1.6007329940795898,0.04771138429641725
0.3011931,0.6197525978088378,1.6663031101226806,0.017722976207733165
0.3251302,0.662038516998291,1.8570696830749511,-0.01877312660217284
0.3611161,0.6212328195571899,1.948910665512085,-0.08084123134613036
0.4018108,0.6430779218673706,2.0283743858337404,-0.12129466533660888
0.4430704,0.6666477441787719,2.2419645309448244,-0.1671453595161438
0.4853539,0.6967925548553466,2.25525803565979,-0.17730157375335692
0.528508,0.7284507274627685,2.4265634536743166,-0.20199023485183715
0.5718984,0.6791516065597534,2.3558165550231935,-0.22366707324981688
0.615377,0.8048260927200317,2.449642610549927,-0.19176857471466063
0.6629534,0.7871866941452026,2.306353282928467,-0.17301498651504515
0.7239515,0.9072324752807617,2.2086655616760256,-0.10640798807144164
0.7865783,0.943277370929718,1.9990360260009765,-0.07754986286163329
0.8500714,1.0155289888381958,1.7392706394195556,0.0026894330978393666
0.9137346,1.0052229285240173,1.482111883163452,0.05332179069519044
0.9817007,1.0445687294006347,1.2029950141906738,0.15483434200286866
1.064361,0.9368552088737487,1.0514771461486816,0.26377291679382325
1.147738,0.7927084684371948,1.0336535692214965,0.3085915565490723
1.231369,0.7450508594512939,1.0258427381515502,0.24624307155609132
1.323522,0.6969997406005859,1.0030834197998046,-0.01598529815673827
1.427309,0.6480786919593811,0.9551681995391845,-0.3134350061416626
1.532067,0.5927443623542785,0.8784121990203857,-0.4306694149971008
1.644174,0.5189860582351684,0.7926727056503295,-0.5314150333404541
1.769217,0.47246570587158204,0.6935387372970581,-0.45713751316070556
1.894922,0.3882807016372681,0.6055169820785522,-0.3737819671630859
2.038648,0.35852290391922,0.5516018390655517,-0.21595804691314696
2.186643,0.3370435953140259,0.5331806659698486,-0.11674718856811522
2.352188,0.369161319732666,0.555803370475769,0.002728533744812023
2.526437,0.4352346181869507,0.6283671379089355,0.0906804919242859
2.698361,0.47220964431762696,0.6810099601745605,0.07163639068603517
2.864821,0.47595674991607667,0.7116628408432006,-0.021015810966491688
3.026669,0.46059269905090333,0.7349785089492797,-0.08782159090042113
3.185786,0.4366393804550171,0.7561064481735229,-0.13614933490753173
3.347419,0.39196391105651857,0.7599308013916015,-0.16999857425689696
3.516563,0.3903844475746155,0.7554473400115966,-0.14845834970474242
3.692543,0.4592124938964844,0.7581727027893066,-0.0785995602607727
3.87029,0.5557889461517334,0.7901588201522827,0.054309141635894786
4.046363,0.6320660233497619,0.8125057935714721,0.17029870748519899
4.21992,0.7347239971160888,0.8705232858657836,0.20138163566589357
4.393195,0.8230778694152832,0.9605292797088623,0.18907268047332765
4.567162,0.9200866937637329,1.068975043296814,0.19029046297073365
4.741938,1.0397409915924072,1.1931380748748779,0.20946009159088136
4.917565,1.2006651878356933,1.3520004272460937,0.2906463861465454
5.156773,1.0944330811500549,1.2221130847930908,0.09241790771484376
5.508125,1.118679118156433,1.2362191200256347,0.12289245128631593
5.862406,1.2097545385360717,1.3878445148468017,0.19542343616485597
6.217956,1.3549971103668212,1.6328300952911377,0.2991039276123047
6.574008,1.4730002403259277,1.7791480541229248,0.4142472267150879
6.924309,1.3833069324493408,1.668454360961914,0.4117704153060913
7.22598,0.9793474197387695,1.4399227619171142,0.15536750555038453
7.375274,0.5559059500694274,1.8364798545837402,-0.40750484466552733
7.477188,0.5197482824325561,1.924787712097168,-0.4411442160606384
7.544575,0.5464235663414001,1.9687623500823974,-0.42442851066589354
7.603629,0.5966478109359741,2.047872018814087,-0.4188788414001465
7.660649,0.6733021259307861,2.098975133895874,-0.3667464733123779
7.718812,0.7656957626342773,2.172078800201416,-0.32932608127593993
7.781508,0.8623188257217407,2.2175487995147707,-0.23569284677505492
7.853269,0.9739101648330688,2.2951192378997805,-0.15609495639801024
7.931418,1.1107640981674194,2.3809656620025637,-0.014343249797821034
8.00322,1.2549402236938476,2.4756004333496096,0.15668625831604005
8.070339,1.4002651691436767,2.5697960376739504,0.3456751823425293
8.149037,1.5445920944213867,2.646075439453125,0.5502194881439209
8.234889,1.6561636447906494,2.679825258255005,0.7344793796539306
8.324985,1.7313024520874023,2.6808712005615236,0.8802242994308471
8.407755,1.780289602279663,2.668275308609009,0.9938882112503051
8.475904,1.8113617420196533,2.658786249160767,1.0875200748443603
8.53364,1.8338136196136474,2.637947988510132,1.1346328973770141
8.584422,1.8585078239440918,2.6256412982940676,1.180951428413391
8.632212,1.878717851638794,2.630301666259766,1.248886775970459
8.679074,1.8914572715759277,2.6126615524291994,1.2742826461791992
8.726187,1.9054274082183837,2.598183107376099,1.3005213260650634
8.774061,1.9177693843841552,2.5824255466461183,1.3246170997619628
8.823139,1.9265994548797607,2.5820595741271974,1.3433658599853515
8.873801,1.9356650829315185,2.5628222942352297,1.3908104419708252
8.926234,1.9428195476531982,2.545263957977295,1.4053766250610351
8.980804,1.946617555618286,2.5245038986206056,1.4118191719055175
9.037466,1.9519915103912353,2.5192822933197023,1.4443296909332275
