time,arc_ST_median,arc_ST_maximum,arc_ST_minimum
0.0,0.0,0.0,0.0
0.0005,0.009469120763242245,0.06267751753330231,-0.07352243363857269
0.02700343,0.41313429176807404,0.5364143252372742,0.17708121240139008
0.06229217,0.5273714661598206,0.5470717549324036,0.5121889114379883
0.09664562,0.5578352808952332,0.7795003652572632,0.4757848381996155
0.1299044,0.6361770629882812,1.0418070554733276,0.4593505859375
0.161597,0.6428236067295074,1.2183663845062256,0.417488694190979
0.1829123,0.6239670813083649,1.298984169960022,0.37532326579093933
0.2013933,0.6098950207233429,1.3640437126159668,0.3502875566482544
0.2201845,0.6315548419952393,1.511717677116394,0.3233893811702728
0.2390807,0.6092453598976135,1.567413091659546,0.2958027124404907
0.2589722,0.636953204870224,1.6225224733352661,0.2732425034046173
0.2802445,0.6090632379055023,1.669730305671692,0.24340301752090454
0.3031122,0.5759283006191254,1.710255742073059,0.21250514686107635
0.328052,0.575742244720459,1.873632550239563,0.1668526828289032
0.3654221,0.5750777721405029,1.9174721240997314,0.12738554179668427
0.4056047,0.5684598088264465,2.111257314682007,0.09248853474855423
0.447167,0.48590001463890076,2.0946972370147705,0.05086547136306763
0.4896978,0.474391832947731,2.039823293685913,0.0242539644241333
0.5328865,0.46895185112953186,2.1694276332855225,0.014485996216535568
0.5763021,0.40557625889778137,2.055006504058838,0.01179908774793148
0.6196528,0.4722228944301605,2.127861738204956,0.022795144468545914
0.6692014,0.4188305735588074,1.9384814500808716,0.049227457493543625
0.730579,0.47394123673439026,1.8338879346847534,0.10071844607591629
0.7934168,0.4812730848789215,1.627366304397583,0.16426551342010498
0.8571062,0.5137569159269333,1.3835920095443726,0.22401367127895355
0.9209141,0.4896570295095444,1.0514296293258667,0.2862367630004883
0.9908726,0.4935678243637085,0.7758389115333557,0.3541218936443329
1.073905,0.4679235965013504,0.5411136150360107,0.3819648027420044
1.157933,0.4793860614299774,0.58929842710495,0.1923285722732544
1.24213,0.4327174425125122,0.6055854558944702,0.0032571605406701565
1.336818,0.37398484349250793,0.6043168306350708,-0.14992229640483856
1.441054,0.2966635376214981,0.6004094481468201,-0.23770204186439514
1.545962,0.26300929486751556,0.5768983364105225,-0.25199636816978455
1.660954,0.22255128622055054,0.5449429750442505,-0.220510795712471
1.786108,0.26912471652030945,0.5224421620368958,-0.12320548295974731
1.913373,0.30423712730407715,0.4998997747898102,-0.020051879808306694
2.059695,0.31839025020599365,0.4719301164150238,0.061315447092056274
2.20862,0.3655707538127899,0.46067336201667786,0.09505276381969452
2.375532,0.3846907317638397,0.4885050654411316,0.04366894066333771
2.544308,0.3582731783390045,0.5008310675621033,-0.057064782828092575
2.71226,0.32419633865356445,0.47464290261268616,-0.09824977070093155
2.875778,0.2816559076309204,0.44120466709136963,-0.12850302457809448
3.033236,0.2330842688679695,0.40957891941070557,-0.14309252798557281
3.185779,0.16902298480272293,0.3728228509426117,-0.15677276253700256
