time,arc_ST_median,arc_ST_maximum,arc_ST_minimum
0.0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998
0.0005,-0.026462914794683434,0.03187284767627718,-0.11821745373308656
0.0247921,0.5231557130813599,0.6504942417144776,0.2868212997913361
0.0602987,0.7238525688648223,0.7297433257102965,0.7016387224197387
0.09476741,0.7834349811077117,0.9741535425186156,0.6906695008277893
0.1286965,0.8607042670249938,1.239700937271118,0.6604283690452576
0.1606608,0.8641836881637572,1.4084785223007201,0.605359160900116
0.1812267,0.8454034268856048,1.4908600091934203,0.5557433605194092
0.1993081,0.8325004518032073,1.563759708404541,0.5227233409881592
0.2180423,0.8556455016136169,1.7137356042861938,0.49028935432434084
0.2376181,0.8310742020606994,1.7791109323501586,0.4573527216911316
0.2574011,0.8530366361141204,1.8321181774139403,0.42548378705978396
0.278552,0.8259651005268096,1.8849231243133544,0.39527072906494143
0.3011468,0.8031228125095367,1.9362212657928466,0.37629943490028384
0.3252481,0.8145724773406982,2.106071615219116,0.34414553046226504
0.3614745,0.8113255441188811,2.1501568794250487,0.2955902457237244
0.4015879,0.7416445851325988,2.1712230682373046,0.2598691821098328
0.4429476,0.7236123323440551,2.3488601684570316,0.2244438171386719
0.4852786,0.7209081888198852,2.313232564926148,0.1989168465137482
0.5282992,0.7072240948677062,2.448777580261231,0.17848279476165774
0.5716593,0.6411522269248963,2.3405188560485843,0.17119857072830202
0.6150663,0.7057167530059814,2.4095100402832035,0.17596077322959902
0.6625697,0.6464401721954346,2.2246035575866703,0.19484266042709353
0.7235809,0.7004685640335082,2.136115217208862,0.24331706166267397
0.7863453,0.7032175004482268,1.9361645221710204,0.30412124991416933
0.8497146,0.7300055265426635,1.6699716091156005,0.3670023322105408
0.9134215,0.6954556345939635,1.3160144329071044,0.4225295424461365
0.9811909,0.7111126422882079,1.0522605419158935,0.505158805847168
1.063533,0.6724489569664002,0.7287941217422484,0.595011854171753
1.147093,0.6763303518295288,0.7813928961753844,0.44388833045959475
1.230906,0.653991186618805,0.8308869838714599,0.21128060817718508
1.322675,0.5995888948440552,0.8491645693778991,0.0318958103656769
1.426635,0.5165993511676789,0.8471272230148315,-0.07744655050337312
