time,arc_ST_median,arc_ST_maximum,arc_ST_minimum
0.0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998
0.0005,-0.026462914794683434,0.03187284767627718,-0.11821745373308656
0.0247921,0.5231557130813599,0.6504942417144776,0.2868212997913361
0.0602987,0.7238525688648223,0.7297433257102965,0.7016387224197387
0.09476741,0.7834349811077117,0.9741535425186156,0.6906695008277893
0.1286965,0.8607042670249938,1.239700937271118,0.6604283690452576
0.1606608,0.8641836881637572,1.4084785223007201,0.605359160900116
0.1812267,0.8454034268856048,1.4908600091934203,0.5557433605194092
0.1993081,0.8325004220008849,1.563759708404541,0.5227233409881592
0.2180423,0.8556455016136169,1.7137356042861938,0.49028935432434084
0.2376181,0.8310742020606994,1.7791109323501586,0.4573527216911316
0.2574011,0.8530366361141204,1.8321181774139403,0.42548378705978396
0.278552,0.8259651005268096,1.8849231243133544,0.39527072906494143
0.3011468,0.8031228125095367,1.9362212657928466,0.37629943490028384
0.3252481,0.8145724773406982,2.106071615219116,0.34414553046226504
0.3614745,0.8113255441188811,2.1501568794250487,0.2955902457237244
0.4015879,0.7416445851325988,2.1712230682373046,0.2598691821098328
0.4429476,0.7236123323440551,2.3488601684570316,0.2244438171386719
0.4852786,0.7209081888198852,2.313232564926148,0.1989168167114258
0.5282991,0.7072078824043273,2.448759460449219,0.17846693992614748
0.5716597,0.6411702871322632,2.3405305385589603,0.171175354719162
0.6150621,0.7058714270591735,2.4097711086273197,0.17600479125976565
0.6626376,0.6467214465141297,2.224093103408814,0.195357882976532
0.7236429,0.7007426261901855,2.134892129898071,0.24454089403152468
0.786434,0.6989621758460998,1.9295839309692382,0.30174442529678347
0.8498711,0.7309825062751769,1.6658114433288573,0.3676902294158936
0.9134106,0.7017278909683227,1.322828197479248,0.4257961750030518
0.9811773,0.7116068243980407,1.0531804800033568,0.5029052138328552
1.063665,0.6774558961391449,0.7379757404327392,0.5969977617263794
1.147144,0.6768005132675171,0.7812819123268127,0.44387980699539187
1.230929,0.6498499155044556,0.8282373189926147,0.20072090029716494
1.322636,0.5888378858566284,0.8431054592132567,0.006498405337333701
1.426465,0.5190799474716187,0.8449732899665832,-0.0853606605902314
