time,arc_ST_median,arc_ST_maximum,arc_ST_minimum
0.0,-0.09999999999999998,-0.09999999999999998,-0.09999999999999998
0.0005,-0.026462914794683434,0.03187284767627718,-0.11821745373308656
0.0247921,0.5231557130813599,0.6504942417144776,0.2868212997913361
0.0602987,0.7238525688648223,0.7297433257102965,0.7016387224197387
0.09476741,0.7834349811077117,0.9741535425186156,0.6906695008277893
0.1286965,0.8607042670249938,1.239700937271118,0.6604283690452576
0.1606608,0.8641836881637572,1.4084785223007201,0.605359160900116
0.1812267,0.8454034268856048,1.4908600091934203,0.5557433605194092
0.1993081,0.8325004518032073,1.563759708404541,0.5227233409881592
0.2180423,0.8556455016136169,1.7137356042861938,0.49028935432434084
0.2376181,0.8310742020606994,1.7791109323501586,0.4573527216911316
0.2574011,0.8530366361141204,1.8321181774139403,0.42548378705978396
0.278552,0.8259651005268096,1.8849231243133544,0.39527072906494143
0.3011468,0.8031228125095367,1.9362212657928466,0.37629943490028384
0.3252481,0.8145724773406982,2.106071615219116,0.34414553046226504
0.3614745,0.8113255441188811,2.1501568794250487,0.2955902457237244
0.4015879,0.7416445851325988,2.1712230682373046,0.2598691821098328
0.4429476,0.7236123323440551,2.3488601684570316,0.2244438171386719
0.4852786,0.7209081888198852,2.313232564926148,0.1989168465137482
0.5282992,0.7072240948677062,2.448777580261231,0.17848279476165774
0.5716593,0.6411522269248963,2.3405188560485843,0.17119857072830202
0.6150663,0.7057167530059814,2.4095100402832035,0.1759608030319214
0.6625697,0.6464330792427063,2.224598550796509,0.19483386874198916
0.7235793,0.700402820110321,2.136078977584839,0.24324809908866885
0.7863373,0.7005012869834899,1.9345168113708495,0.30111812949180605
0.8497431,0.7275937736034392,1.6670167684555053,0.3651645123958588
0.9133203,0.6997199296951293,1.3223082065582275,0.426686429977417
0.9811186,0.7087984025478362,1.0499497890472411,0.504130744934082
1.063467,0.6670808434486389,0.7277315497398376,0.5899540424346924
1.146967,0.6673752903938294,0.7709651827812194,0.4416369438171387
1.230837,0.6419867515563965,0.8166682958602904,0.21027629971504214
1.32275,0.5817010045051575,0.8339333772659301,0.020389252901077293
1.426494,0.4977735817432404,0.8310998320579528,-0.09761435808613894
